organization-id;device-id;time-base-schedule-number;time-base-schedule-month;time-base-schedule-day;time-base-schedule-date;time-base-schedule-day-plan;day-plan-hour;day-plan-minute;date;time;offset;holiday-table;tod-flags;meter-action
Caltrans;357;1;8190;124;4294967294;225;15;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;357;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;356;1;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;356;2;8190;124;4294967294;234;15;1;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;356;3;8190;124;4294967294;238;15;30;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;356;4;8190;124;4294967294;232;17;30;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;356;5;8190;124;4294967294;227;18;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;356;6;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;213;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;213;2;8190;254;4294967294;80;11;0;20191024;090857;-0700;"";;dark
Caltrans;213;3;8190;124;4294967294;191;14;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;213;4;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;171;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;171;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;10505;1;8190;124;4294967294;224;15;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;10505;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;212;1;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;212;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;10106;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;10106;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;211;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;211;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;170;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;170;2;8190;124;4294967294;101;5;45;20191024;090857;-0700;"";;fixedRate
Caltrans;170;3;8190;124;4294967294;105;7;0;20191024;090857;-0700;"";;fixedRate
Caltrans;170;4;8190;124;4294967294;97;9;0;20191024;090857;-0700;"";;fixedRate
Caltrans;170;5;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;10504;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;10504;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;216;1;8190;124;4294967294;96;15;0;20191024;090857;-0700;"";;dark
Caltrans;216;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;214;1;8190;124;4294967294;225;15;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;214;2;8190;124;4294967294;238;16;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;214;3;8190;124;4294967294;225;18;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;214;4;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;11605;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11605;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;11606;1;8190;124;4294967294;191;15;0;20191025;084014;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11606;2;8190;254;4294967294;208;19;0;20191025;084014;-0700;"";PM_responsive_tables;dark
Caltrans;218;1;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;218;2;8190;124;4294967294;226;15;1;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;218;3;8190;124;4294967294;208;18;30;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;218;4;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;11603;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11603;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;11604;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11604;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;10502;1;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;10502;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;10109;1;8190;124;4294967294;185;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;10109;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;10107;1;8190;124;4294967294;226;15;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;10107;2;8190;124;4294967294;191;15;10;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;10107;3;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;57;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;57;2;8190;254;4294967294;80;8;30;20191024;090857;-0700;"";;dark
Caltrans;11508;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11508;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;56;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;56;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;11507;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11507;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;11504;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11504;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;240;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;240;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
