orgId;deviceId;meterPlanId;meterRate;AMaxRate;AtableIniMeasure;AtableDelta;PMaxRate;PtableIniMeasure;PtableDelta;iniVolume;deltaVolume;startupThreshold;shutdownThreshold;v1selDuration
Caltrans;11902;a;0;15;8.3;0.16;15;8.3;0.13;1850;18;1500;1300;1
Caltrans;11902;p;0;15;8.3;0.16;15;8.3;0.13;1550;39;1425;1200;1
Caltrans;203;a;0;15;5.3;0.21;15;5.8;0.19;1500;29;1300;1000;1
Caltrans;203;p;0;15;5.3;0.21;15;5.8;0.19;1150;26;1125;800;1
Caltrans;10407;a;0;0;0;0;15;9.5;0.26;0;0;0;0;1
Caltrans;10407;p;0;0;0;0;15;9.5;0.26;1600;21;1550;1150;1
Caltrans;11903;a;0;0;0;0;15;8.3;0.27;0;0;0;0;1
Caltrans;11903;p;0;0;0;0;15;8.3;0.27;0;0;0;0;1
Caltrans;204;a;0;15;8.3;0.28;15;8.3;0.26;900;57;850;550;1
Caltrans;204;p;0;15;8.3;0.28;15;8.3;0.26;1360;31;1300;950;1
Caltrans;11904;a;0;15;8;0.26;15;8.3;0.26;1850;18;1500;1300;1
Caltrans;11904;p;0;15;8;0.26;15;8.3;0.26;1750;21;1700;1350;1
Caltrans;201;a;0;15;6.4;0.18;15;6.4;0.16;1175;59;1100;920;1
Caltrans;201;p;0;15;6.4;0.18;15;6.4;0.16;1400;18;1350;1025;1
Caltrans;152;a;0;15;8.3;0.28;15;8.3;0.26;1450;25;1400;1025;1
Caltrans;152;p;0;15;8.3;0.28;15;8.3;0.26;1370;16;1350;850;1
Caltrans;10409;a;0;15;8.3;0.3;15;8.3;0.3;1550;25;1350;1100;1
Caltrans;10409;p;0;15;8.3;0.3;15;8.3;0.3;1700;25;1650;1300;1
Caltrans;11905;a;0;15;8.3;0.27;15;8.3;0.3;1675;24;1500;1250;1
Caltrans;11905;p;0;15;8.3;0.27;15;8.3;0.3;1425;29;1371;1050;1
Caltrans;202;a;0;15;7.4;0.28;15;6.3;0.24;1040;40;1000;700;1
Caltrans;202;p;0;15;7.4;0.28;15;6.3;0.24;1375;30;1325;1075;1
Caltrans;151;a;0;15;8.3;0.19;15;8.3;0.3;1600;36;1500;1200;1
Caltrans;151;p;0;15;8.3;0.19;15;8.3;0.3;1700;24;1660;1200;1
Caltrans;10408;a;0;15;8.3;0.23;15;8.3;0.27;1100;33;1050;956;1
Caltrans;10408;p;0;15;8.3;0.23;15;8.3;0.27;1550;19;1500;1200;1
Caltrans;11907;a;0;0;0;0;15;6.1;0.12;0;0;0;0;1
Caltrans;11907;p;0;0;0;0;15;6.1;0.12;1800;22;1600;1300;1
Caltrans;200;a;0;15;8.3;0.14;15;6.4;0.14;1300;28;1200;950;1
Caltrans;200;p;0;15;8.3;0.14;15;6.4;0.14;1280;37;1250;900;1
Caltrans;300;a;0;0;0;0;15;4.8;0.11;0;0;0;0;1
Caltrans;300;p;0;0;0;0;15;4.8;0.11;1900;7;1600;1500;1
Caltrans;155;a;0;15;8.3;0.18;0;0;0;1300;43;1200;775;1
Caltrans;155;p;0;15;8.3;0.18;0;0;0;0;0;0;0;1
Caltrans;158;a;0;15;8.3;0.28;0;0;0;1500;11;1450;1200;1
Caltrans;158;p;0;15;8.3;0.28;0;0;0;0;0;0;0;1
Caltrans;302;a;0;15;9.5;0.37;15;9.5;0.37;0;0;0;0;1
Caltrans;302;p;0;15;9.5;0.37;15;9.5;0.37;0;0;0;0;1
Caltrans;18106;a;0;15;8.3;0.16;0;0;0;1820;27;1800;1250;1
Caltrans;18106;p;0;15;8.3;0.16;0;0;0;0;0;0;0;1
Caltrans;11910;a;0;0;0;0;15;8.3;0.25;0;0;0;0;1
Caltrans;11910;p;0;0;0;0;15;8.3;0.25;1750;32;1625;1400;1
Caltrans;11913;a;0;15;8.3;0.21;15;8.3;0.28;1850;32;1650;1475;1
Caltrans;11913;p;0;15;8.3;0.21;15;8.3;0.28;1450;36;1350;1050;1
Caltrans;11911;a;0;0;0;0;15;8.3;0.25;0;0;0;0;1
Caltrans;11911;p;0;0;0;0;15;8.3;0.25;0;0;0;0;1
Caltrans;11912;a;0;15;6.3;0.15;15;4.8;0.08;0;0;0;0;1
Caltrans;11912;p;0;15;6.3;0.15;15;4.8;0.08;0;0;0;0;1
Caltrans;169;a;0;15;9.5;0.22;0;0;0;1700;21;1600;1400;1
Caltrans;169;p;0;15;9.5;0.22;0;0;0;0;0;0;0;1
Caltrans;168;a;0;15;9.5;0.22;0;0;0;0;0;0;0;1
Caltrans;168;p;0;15;9.5;0.22;0;0;0;0;0;0;0;1
Caltrans;167;a;0;15;9.5;0.31;0;0;0;1400;21;1500;1300;1
Caltrans;167;p;0;15;9.5;0.31;0;0;0;0;0;0;0;1
Caltrans;220;a;0;15;8.3;0.21;0;0;0;890;51;750;600;1
Caltrans;220;p;0;15;8.3;0.21;0;0;0;0;0;0;0;1
Caltrans;180;a;0;15;6.1;0.29;15;7.6;0.29;1550;32;1500;1000;1
Caltrans;180;p;0;15;6.1;0.29;15;7.6;0.29;1340;33;1300;900;1
Caltrans;221;a;0;15;8.3;0.21;0;0;0;0;0;0;0;1
Caltrans;221;p;0;15;8.3;0.21;0;0;0;0;0;0;0;1
Caltrans;181;a;0;15;8.3;0.25;15;8.3;0.26;1550;32;1400;1100;1
Caltrans;181;p;0;15;8.3;0.25;15;8.3;0.26;1550;32;1500;1100;1
Caltrans;224;a;0;15;7.5;0.21;15;5;0.12;1300;43;1000;800;1
Caltrans;224;p;0;15;7.5;0.21;15;5;0.12;1250;25;1300;1050;1
Caltrans;11611;a;0;0;0;0;15;8.3;0.25;0;0;0;0;1
Caltrans;11611;p;0;0;0;0;15;8.3;0.25;0;0;0;0;1
Caltrans;226;a;0;15;9.5;0.27;0;0;0;0;0;0;0;1
Caltrans;226;p;0;15;9.5;0.27;0;0;0;0;0;0;0;1
Caltrans;11610;a;0;0;0;0;15;8.5;0.27;0;0;0;0;1
Caltrans;11610;p;0;0;0;0;15;8.5;0.27;0;0;0;0;1
Caltrans;225;a;0;0;0;0;15;8.3;0.25;0;0;0;0;1
