deviceId;status;operationalMode;mainlineFlow;currentPlanId;currentRate;carsPerLane
RMIS.13807;on;holdNonMeter;400;0;0;1
RMIS.25;on;dark;3866624;0;0;2
RMIS.13808;on;holdNonMeter;280;0;0;1
RMIS.26;on;dark;465;0;0;1
RMIS.256;on;dark;360;0;0;2
RMIS.15811;on;dark;700;0;0;2
RMIS.254;on;dark;433;0;0;1
RMIS.393;on;dark;428;0;0;2
RMIS.255;on;dark;473;0;0;2
RMIS.15813;on;dark;3407872;0;0;1
RMIS.391;on;dark;535;0;0;2
RMIS.15713;on;dark;757;0;0;2
RMIS.18;on;dark;3866624;0;0;2
RMIS.252;on;dark;3866624;0;0;1
RMIS.13810;on;dark;142;0;0;1
RMIS.253;on;dark;476;0;0;1
RMIS.15712;on;dark;3211264;0;0;1
RMIS.250;on;dark;303;0;0;2
RMIS.397;on;dark;340;0;0;2
RMIS.251;on;dark;245;0;0;2
RMIS.398;on;dark;440;0;0;2
RMIS.10;on;dark;0;0;0;2
RMIS.11;on;dark;570;0;0;1
RMIS.12;on;dark;565;0;0;2
RMIS.13;on;dark;512;0;0;1
RMIS.14;on;holdNonMeter;450;0;0;1
RMIS.15;on;dark;415;0;0;1
RMIS.16;on;dark;147;0;0;1
RMIS.17;on;dark;425;0;0;2
RMIS.12112;on;dark;237;0;0;0
RMIS.381;on;dark;452;0;0;1
RMIS.389;on;dark;620;0;0;2
RMIS.12201;on;dark;162;0;0;2
RMIS.15010;on;dark;452;0;0;2
RMIS.12202;on;dark;65;0;0;2
RMIS.12006;on;dark;560;0;0;2
RMIS.49;on;dark;0;0;0;1
RMIS.12007;on;dark;3145728;0;0;2
RMIS.48;on;dark;503;0;0;2
RMIS.12003;on;dark;572;0;0;2
RMIS.12004;on;dark;562;0;0;1
RMIS.12005;on;dark;562;0;0;1
RMIS.12104;on;holdNonMeter;375;0;0;1
RMIS.40;on;dark;200;0;0;1
RMIS.12107;on;dark;445;0;0;2
RMIS.12108;on;dark;340;0;0;2
RMIS.13007;on;dark;680;0;0;1
RMIS.12608;on;dark;624;0;0;2
RMIS.12607;on;dark;0;0;0;2
RMIS.13006;on;dark;440;0;0;2
RMIS.12606;on;dark;576;0;0;2
RMIS.12605;on;dark;3276800;0;0;2
RMIS.276;on;dark;343;0;0;2
RMIS.274;on;dark;353;0;0;2
RMIS.15001;on;dark;577;0;0;2
RMIS.275;on;dark;323;0;0;1
RMIS.12704;on;dark;548;0;0;2
RMIS.15003;on;dark;467;0;0;2
RMIS.12703;on;dark;578;0;0;1
RMIS.273;on;dark;326;0;0;2
RMIS.12504;on;dark;566;0;0;2
